# Raja Jain
+--------------------+-----------------+--------+
|              window|         Hashtags|trending|
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|Belgium          |135     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|WorldCup         |3046    |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|LightUpTheWorld  |119     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|France           |120     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|worldcup         |162     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|gamefeels        |175     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|England          |108     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|ThreeLions       |102     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|FRABEL           |137     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|FRA              |231     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|BEL              |137     |
|{2018-07-10 15:00:00, 2018-07-10 16:00:00}|Wimbledon        |260     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|worldcup         |197     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|France           |113     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|FRABEL           |375     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|FRA              |427     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|BEL              |355     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|WorldCup         |2465    |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|Belgium          |133     |
|{2018-07-10 17:00:00, 2018-07-10 18:00:00}|gamefeels        |113     |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|Belgium          |110     |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|FRA              |509     |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|BEL              |498     |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|ENG              |136     |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|France           |117     |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|WorldCup         |2854    |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|FRABEL           |1127    |
|{2018-07-10 18:00:00, 2018-07-10 19:00:00}|worldcup         |355     |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|FRA              |359     |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|BEL              |203     |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|WorldCup         |2607    |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|worldcup         |162     |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|FRABEL           |318     |
|{2018-07-10 20:00:00, 2018-07-10 21:00:00}|ENG              |140     |
|{2018-07-10 21:00:00, 2018-07-10 22:00:00}|WorldCup         |223     |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|WorldCup         |2541    |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|BEL              |131     |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|FRABEL           |283     |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|worldcup         |126     |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|England          |131     |
|{2018-07-10 22:00:00, 2018-07-10 23:00:00}|FRA              |205     |
|{2018-07-10 23:00:00, 2018-07-11 00:00:00}|WorldCup         |308     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|Cro              |134     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|EngCro           |215     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|CRO              |841     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|worldcup         |1057    |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|WorldCup         |6840    |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|CROENG           |1371    |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|Eng              |214     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|ENG              |1151    |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|ItsComingHome    |216     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|football         |103     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|ENGCRO           |2048    |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|England          |342     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|eng              |227     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|EnglandvsCroatia |184     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|EnglandvCroatia  |117     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|ThreeLions       |250     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|CROvENG          |141     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|Worldcup         |136     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|cro              |127     |
|{2018-07-11 19:00:00, 2018-07-11 20:00:00}|Croatia          |162     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|worldcup         |353     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|CRO              |187     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|ENGCRO           |298     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|ENG              |374     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|CROENG           |273     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|England          |141     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|EngCro           |161     |
